2020-03-24,Phalguna,Pournami,Uttara,Shishir,Tuesday
2020-03-25,Chaitra,Padyami,Revati,Vasant,Wednesday
2020-03-26,Chaitra,Vidiya,Revati,Vasant,Thursday
2020-03-27,Chaitra,Thadiya,Ashwini,Vasant,Friday
2020-03-28,Chaitra,Chaturthi,Bharani,Vasant,Saturday
2020-03-29,Chaitra,Panchami,Krittika,Vasant,Sunday
2020-03-30,Chaitra,Shashthi,Rohini,Vasant,Monday
2020-03-31,Chaitra,Saptami,Mrigashirsha,Vasant,Tuesday
2020-04-01,Chaitra,Ashtami,Ardra,Vasant,Wednesday
2020-04-02,Chaitra,Navami,Punarvasu,Vasant,Thursday
2020-04-03,Chaitra,Dasami,Pushya,Vasant,Friday
2020-04-04,Chaitra,Ekadasi,Ashlesha,Vasant,Saturday
2020-04-05,Chaitra,Dvadasi,Magha,Vasant,Sunday
2020-04-06,Chaitra,Trayodasi,Purva,Vasant,Monday
2020-04-07,Chaitra,Chaturdashi,Uttara,Vasant,Tuesday
2020-04-08,Chaitra,Amavasya,Hasta,Vasant,Wednesday
2020-04-09,Chaitra,Vidiya,Svati,Vasant,Thursday
2020-04-10,Chaitra,Thadiya,Visakha,Vasant,Friday
2020-04-11,Chaitra,Chaturthi,Anuradha,Vasant,Saturday
2020-04-12,Chaitra,Panchami,Jyeshtha,Vasant,Sunday
2020-04-13,Chaitra,Shashthi,Mula,Vasant,Monday
2020-04-14,Chaitra,Saptami,Purva,Vasant,Tuesday
2020-04-15,Chaitra,Ashtami,Uttara,Vasant,Wednesday
2020-04-16,Chaitra,Navami,Sravana,Vasant,Thursday
2020-04-17,Chaitra,Dasami,Dhanistha,Vasant,Friday
2020-04-18,Chaitra,Ekadasi,Shatabhisha,Vasant,Saturday
2020-04-19,Chaitra,Dvadasi,Purva,Vasant,Sunday
2020-04-20,Chaitra,Trayodasi,Purva,Vasant,Monday
2020-04-21,Chaitra,Chaturdashi,Uttara,Vasant,Tuesday
2020-04-22,Chaitra,Pournami,Revati,Vasant,Wednesday
2020-04-23,Chaitra,Pournami,Ashwini,Vasant,Thursday
2020-04-24,Vaisakha,Padyami,Bharani,Vasant,Friday
2020-04-25,Vaisakha,Vidiya,Krittika,Vasant,Saturday
